TID: [-1] [] [2017-12-07 16:23:57,039]  INFO {org.wso2.andes.wso2.internal.QpidBundleActivator} -  Setting BundleContext in PluginManager {org.wso2.andes.wso2.internal.QpidBundleActivator}
TID: [-1234] [] [2017-12-07 16:24:55,399]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Starting WSO2 Carbon... {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2017-12-07 16:24:55,403]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Operating System : Windows 10 10.0, amd64 {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2017-12-07 16:24:55,404]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Java Home        : C:\Program Files\Java\jdk1.8.0_131\jre {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2017-12-07 16:24:55,405]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Java Version     : 1.8.0_131 {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2017-12-07 16:24:55,406]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Java VM          : Java HotSpot(TM) 64-Bit Server VM 25.131-b11,Oracle Corporation {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2017-12-07 16:24:55,488]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Carbon Home      : C:\softwares\bitbucket-clones\wso2_VL\wso2_stuff\wso2am-2.1.0\bin\.. {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2017-12-07 16:24:55,515]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Java Temp Dir    : C:\softwares\bitbucket-clones\wso2_VL\wso2_stuff\wso2am-2.1.0\bin\..\tmp {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2017-12-07 16:24:55,516]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  User             : VI375893, en-IN, Asia/Calcutta {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2017-12-07 16:24:59,948]  WARN {org.wso2.carbon.core.bootup.validator.util.ValidationResultPrinter} -  The running OS : Windows 10 is not a tested Operating System for running WSO2 Carbon {org.wso2.carbon.core.bootup.validator.util.ValidationResultPrinter}
TID: [-1234] [] [2017-12-07 16:25:00,181]  WARN {org.wso2.carbon.core.bootup.validator.util.ValidationResultPrinter} -  Carbon is configured to use the default keystore (wso2carbon.jks). To maximize security when deploying to a production environment, configure a new keystore with a unique password in the production server profile. {org.wso2.carbon.core.bootup.validator.util.ValidationResultPrinter}
